R (2018),Pollster (2018),# of Polls (2018),Predictive    Plus-Minus (2018),538 Grade (2018),Mean-Reverted Bias (2018),Races Called Correctly (2018),Bias (2018),House Effect (2018)
13,University of Cincinnati (Ohio Poll),38,-0.8,A,R +1.5,93%,R +3.0,R +2.3
23,University of Connecticut,7,-0.5,A-,R +0.4,93%,R +1.9,R +2.0
140,University of Denver,2,0.3,B-,R +0.1,100%,R +1.0,R +0.4
52,University of Florida,1,-0.2,B+,D +0.0,50%,D +1.1,R +0.9
308,University of Georgia,1,0.8,C+,R +0.3,100%,R +9.8,R +0.8
118,University of Houston,1,0.2,B,,100%,,
198,University of Illinois at Chicago,1,0.5,B-,R +0.5,100%,R +14.1,R +5.1
279,University of Iowa,3,0.7,C+,R +0.2,67%,R +6.6,R +2.8
180,University of Massachusetts Amherst,11,0.5,B-,R +0.4,100%,R +7.2,R +1.8
49,University of Massachusetts Lowell,17,-0.2,B+,R +0.2,88%,R +0.8,R +0.7
146,University of Nevada Las Vegas,1,0.3,B-,,100%,,
114,University of New Hampshire,111,0.2,B,D +2.7,85%,D +3.6,D +3.4
355,University of New Orleans,10,1,C,R +0.3,80%,R +1.2,R +0.2
244,University of North Carolina,1,0.7,C+,D +0.1,100%,D +1.6,R +1.3
32,University of North Florida,6,-0.4,A-,D +0.5,50%,D +4.0,D +1.6
50,University of South Alabama,8,-0.2,B+,R +0.4,100%,R +1.9,R +2.2
234,University of Tennessee,1,0.7,C+,R +0.1,100%,R +2.7,R +5.4
181,University of Texas,4,0.5,B-,D +0.1,100%,D +1.1,D +2.8
61,University of Washington,9,-0.1,B+,D +0.1,100%,D +0.3,D +3.4
115,University of Wisconsin (Badger Poll),6,0.2,B,D +0.2,83%,D +1.3,D +1.7
209,University of Wisconsin Milwaukee,3,0.6,C+,R +0.5,100%,R +5.3,R +2.1
333,USC Dornsife/LA Times,3,0.9,C,R +0.4,33%,R +4.1,R +5.9
158,Val Smith,1,0.4,B-,R +0.3,100%,R +8.5,R +15.0
384,Valley Research,6,1.5,D+,D +0.4,83%,D +2.4,D +1.4
148,Victoria Research & Consulting,1,0.3,B-,D +0.3,50%,D +8.1,
145,Virginia Commonwealth University,5,0.3,B-,R +0.3,100%,R +1.9,R +1.7
86,Voter/Consumer Research,6,0.1,B,D +0.1,100%,D +0.3,R +3.0
112,Vox Populi Communications,11,0.2,B,R +0.2,77%,R +0.7,R +2.2
261,War Room Logistics,1,0.7,C+,,100%,,
48,Ward Research (Honolulu Star-Advertiser),14,-0.2,B+,R +0.6,75%,R +1.7,D +0.7
380,WCIA-TV,2,1.4,C-,R +1.1,100%,R +18.3,R +8.8
349,We Ask America,52,1,C,R +0.9,83%,R +1.8,R +2.4
231,West Chester University,7,0.7,C+,D +0.2,100%,D +1.0,D +2.3
295,West Virginia Research Center,2,0.8,C+,D +0.4,50%,D +6.5,D +2.8
291,Western Kentucky University,5,0.7,C+,D +1.1,80%,D +9.2,R +0.1
33,Western New England University,12,-0.3,A-,R +1.1,88%,R +3.9,R +0.3
271,Wick Communications,1,0.7,C+,D +0.1,100%,D +2.8,D +4.0
178,"Wiese Research Associates, Inc.",6,0.5,B-,D +1.0,100%,D +5.9,D +4.1
101,Wilson Perkins Allen Opinion Research,4,0.2,B,R +0.1,50%,R +0.6,R +7.1
169,Wilson Research Strategies,10,0.4,B-,R +0.1,65%,R +0.5,R +2.8
249,Winston Group,1,0.7,C+,D +0.2,100%,D +6.3,R +8.0
51,Winthrop University,1,-0.2,B+,D +0.0,100%,D +0.2,R +0.9
210,Wirthlin Worldwide,4,0.6,C+,R +0.5,75%,R +3.9,R +4.9
240,Wood Communications Group,1,0.7,C+,D +0.0,100%,D +0.8,D +3.0
93,Y2 Analytics,4,0.1,B,D +0.3,100%,D +3.3,R +6.5
129,"Yankelovich Partners, Inc.",6,0.3,B-,R +0.1,42%,R +1.2,R +1.3
78,YouGov,375,0.1,B,D +0.3,88%,D +0.3,D +0.3
334,Zata3,2,0.9,C,R +0.2,100%,R +4.0,D +0.0
362,Zia Poll,3,1.1,C,R +0.4,100%,R +4.9,R +3.3
288,Zimmerman & Associates/Marketing Intelligence,3,0.7,C+,D +0.3,100%,D +3.2,D +0.6
353,Zogby Interactive/JZ Analytics,464,1,C,R +0.9,78%,R +1.0,D +0.0
