R(2016),Pollster (2016),# of Polls (2016),Predictive    Plus-Minus (2016),538 Grade (2016),Mean-Reverted Bias (2016),Races Called Correctly (2016),Bias (2016),House Effect (2016)
108,Vox Populi Communications,11,0.2,B,R +0.0,77%,R +0.2,R +2.7
233,War Room Logistics,1,0.7,C+,,100%,,
62,Ward Research (Honolulu Star-Advertiser),14,0,B+,R +0.6,75%,R +1.7,D +1.6
360,WCIA-TV,2,1.4,C-,R +1.1,100%,R +18.3,R +8.8
336,We Ask America,52,1.1,C,R +0.9,83%,R +1.8,R +2.4
245,West Chester University,7,0.7,C+,D +0.2,100%,D +1.0,D +2.3
274,West Virginia Research Center,2,0.8,C+,D +0.4,50%,D +6.5,D +2.8
250,Western Kentucky University,3,0.7,C+,D +0.8,67%,D +12.7,D +2.6
35,Western New England University,11,-0.3,A-,R +1.2,86%,R +4.6,R +0.4
244,Wick Communications,1,0.7,C+,D +0.1,100%,D +2.8,D +4.0
255,"Wiese Research Associates, Inc.",7,0.7,C+,D +1.3,100%,D +6.9,D +4.4
103,Wilson Perkins Allen Opinion Research,3,0.2,B,R +0.3,67%,R +2.9,R +9.6
158,Wilson Research Strategies,10,0.5,B-,R +0.1,65%,R +0.5,R +2.8
227,Winston Group,1,0.7,C+,D +0.2,100%,D +6.3,R +8.0
201,Wirthlin Worldwide,4,0.6,C+,R +0.5,75%,R +3.9,R +4.9
215,Wood Communications Group,1,0.7,C+,D +0.0,100%,D +0.8,D +3.0
249,Y2 Analytics,1,0.7,C+,,100%,,
128,"Yankelovich Partners, Inc.",6,0.3,B-,R +0.1,42%,R +1.2,R +1.3
81,YouGov,707,0.1,B,D +1.6,93%,D +1.7,D +0.2
310,Zata3,2,0.9,C,R +0.2,100%,R +4.0,D +0.0
269,Zimmerman & Associates/Marketing Intelligence,3,0.8,C+,D +0.3,100%,D +3.2,D +0.6
344,Zogby Interactive/JZ Analytics,465,1.2,C-,R +0.8,78%,R +0.9,D +0.1
